,precision,recall,f1-score,support
AVH,0.0351288056206089,0.375,0.06423982869379015,40.0
BDH,0.6563706563706564,0.46321525885558584,0.5431309904153354,367.0
BOR,0.28086138914164394,0.5485781990521327,0.3715145436308927,1688.0
BTA,0.04671532846715328,0.23880597014925373,0.07814407814407814,134.0
BTH,0.43478260869565216,0.3076923076923077,0.36036036036036034,195.0
CEE,0.13895216400911162,0.5922330097087378,0.22509225092250923,103.0
JAC,0.31191222570532917,0.29679343773303507,0.3041650745128009,1341.0
LUZ,0.24061810154525387,0.24330357142857142,0.24195338512763595,448.0
MDI,0.015776699029126214,0.325,0.03009259259259259,40.0
MLC,0.0436046511627907,0.3,0.07614213197969544,50.0
MLG,0.1220159151193634,0.42592592592592593,0.18969072164948453,108.0
MLO,0.6436781609195402,0.8888888888888888,0.7466666666666667,63.0
OLI,0.10363153232949512,0.3087071240105541,0.15517241379310345,379.0
ORH,0.35074626865671643,0.5402298850574713,0.4253393665158371,174.0
PCH,0.3333333333333333,0.6923076923076923,0.45,52.0
PPH,0.5736301369863014,0.21016311166875784,0.3076216712580349,1594.0
PTR,0.1875,0.01892744479495268,0.034383954154727794,634.0
SAI,0.043731778425655975,0.5263157894736842,0.08075370121130551,57.0
SIN,0.016728624535315983,0.6666666666666666,0.032638259292837715,54.0
SNE,0.18018018018018017,0.01152073732718894,0.02165674066053059,1736.0
SOG,0.14685314685314685,0.65625,0.24,64.0
SPH,0.3394683026584867,0.3213939980638916,0.330183988065639,1033.0
SPL,0.4009546539379475,0.25339366515837103,0.31053604436229204,663.0
VRC,0.9320720989125577,0.5580627898679986,0.6981311018131102,11212.0
VRG,0.20875420875420875,0.36046511627906974,0.26439232409381663,172.0
accuracy,0.4214990402214187,0.4214990402214187,0.4214990402214187,0.4214990402214187
macro avg,0.27152003885398296,0.40519362360442945,0.2632800875966831,22401.0
weighted avg,0.624241056418731,0.4214990402214187,0.47628835003796355,22401.0
