,precision,recall,f1-score,support
ARP,0.0,0.0,0.0,24.0
AVH,0.6,0.15,0.24,40.0
BDH,0.4889937106918239,0.8474114441416893,0.6201395812562313,367.0
BDP,1.0,0.18181818181818182,0.3076923076923077,11.0
BOR,0.5212014134275619,0.3493191237418591,0.4182913860333215,1689.0
BTA,0.4444444444444444,0.029850746268656716,0.055944055944055944,134.0
BTH,0.5258620689655172,0.3128205128205128,0.39228295819935693,195.0
BTP,1.0,0.16666666666666666,0.2857142857142857,24.0
CAE,0.5,0.17647058823529413,0.2608695652173913,17.0
CBT,1.0,0.1,0.18181818181818182,10.0
CEE,0.5102040816326531,0.24271844660194175,0.32894736842105265,103.0
CPL,0.75,0.10714285714285714,0.1875,28.0
CTG,0.7142857142857143,0.3125,0.43478260869565216,16.0
CZH,0.8275862068965517,0.6486486486486487,0.7272727272727273,37.0
FLA,0.0,0.0,0.0,20.0
FLP,1.0,0.03225806451612903,0.0625,31.0
FVL,0.8333333333333334,0.5405405405405406,0.6557377049180327,37.0
JAC,0.33315068493150685,0.4527177959791511,0.3838383838383838,1343.0
LUZ,0.5261845386533666,0.46993318485523383,0.4964705882352941,449.0
MCR,0.8,0.25,0.38095238095238093,16.0
MDI,0.0,0.0,0.0,40.0
MIS,0.6153846153846154,0.5,0.5517241379310345,32.0
MLC,1.0,0.08,0.14814814814814814,50.0
MLF,0.0,0.0,0.0,25.0
MLG,0.6956521739130435,0.2962962962962963,0.4155844155844156,108.0
MLO,0.8360655737704918,0.8095238095238095,0.8225806451612904,63.0
MPC,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
OLI,0.425531914893617,0.21052631578947367,0.28169014084507044,380.0
ORH,0.676923076923077,0.5057471264367817,0.5789473684210527,174.0
ORP,0.6,0.15789473684210525,0.25,19.0
PCH,0.5806451612903226,0.6923076923076923,0.631578947368421,52.0
PHI,0.7142857142857143,0.5555555555555556,0.625,36.0
PPH,0.4266666666666667,0.56,0.4843243243243243,1600.0
PTR,0.29844961240310075,0.12145110410094637,0.1726457399103139,634.0
PVT,1.0,0.05,0.09523809523809523,20.0
SAI,1.0,0.05263157894736842,0.1,57.0
SIN,0.13043478260869565,0.05454545454545454,0.07692307692307693,55.0
SNE,0.31866666666666665,0.13719862227324914,0.19181380417335472,1742.0
SOG,0.5714285714285714,0.25,0.34782608695652173,64.0
SPH,0.42096902303415407,0.5110896817743491,0.4616724738675958,1037.0
SPL,0.4817987152034261,0.6766917293233082,0.5628517823639775,665.0
TRE,1.0,0.1,0.18181818181818182,10.0
TRN,0.6451612903225806,0.5128205128205128,0.5714285714285714,39.0
TRU,0.0,0.0,0.0,39.0
TTH,1.0,0.25,0.4,20.0
VRC,0.8140085186938003,0.9192126124521244,0.863417695042878,11227.0
VRG,0.7611940298507462,0.29651162790697677,0.42677824267782427,172.0
accuracy,0.6458215389975177,0.6458215389975177,0.6458215389975177,0.6458215389975177
macro avg,0.5915995525801794,0.2997337856497879,0.3421151623204142,22963.0
weighted avg,0.625014917590293,0.6458215389975177,0.6178320384673672,22963.0
