,ARP,AVH,BDH,BDP,BOR,BTA,BTH,BTP,CAE,CBT,CEE,CPL,CTG,CZH,FLA,FLP,FVL,JAC,LUZ,MCR,MDI,MIS,MLC,MLF,MLG,MLO,MPC,OLI,ORH,ORP,PCH,PHI,PPH,PTR,PVT,SAI,SIN,SNE,SOG,SPH,SPL,TRE,TRN,TRU,TTH,VRC,VRG
ARP,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,1,0,0,0,0,10,0
AVH,0,6,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,5,0
BDH,0,1,311,0,0,0,9,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,5,0,0,0,4,0,0,0,0,0,0,0,6,0
BDP,0,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOR,0,0,4,0,590,4,2,0,0,0,1,0,0,0,0,0,0,60,2,0,0,1,0,0,0,0,0,19,0,0,0,0,22,2,0,0,0,71,0,37,1,0,0,0,0,868,5
BTA,0,0,4,0,17,4,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,1,0,0,2,0,17,5,0,0,0,2,0,13,3,0,0,0,0,54,2
BTH,0,0,88,0,0,0,61,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,2,0,9,0,2,1,6,3,0,0,0,3,0,3,0,0,0,0,0,5,0
BTP,0,0,12,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CAE,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0
CBT,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0
CEE,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,72,0,0,0,0,0,1
CPL,0,0,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,3,0
CTG,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,4,0,0,0,0,0,0
CZH,0,0,4,0,0,0,1,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
FLA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,10,0
FLP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,25,0
FVL,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0
JAC,0,1,39,0,35,0,6,0,0,0,0,0,0,0,0,0,3,608,18,1,0,0,0,0,0,0,0,13,2,1,4,3,147,24,0,0,0,117,2,41,10,0,1,0,0,267,0
LUZ,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,48,211,0,0,2,0,1,0,0,0,2,2,0,2,0,81,20,0,0,0,7,0,2,1,0,0,0,0,63,0
MCR,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
MDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,0,0,0,1,0,5,1,0,0,0,0,23,0
MIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,6,0
MLC,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,4,0,0,0,0,0,0,0,2,0,7,5,0,0,0,1,1,1,0,0,0,0,0,6,0
MLF,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,0
MLG,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,32,0,0,0,0,0,0,0,31,11,0,0,0,0,0,1,0,0,0,0,0,0,0
MLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,4,0
MPC,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLI,0,0,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,80,0,0,0,0,33,1,0,0,0,27,0,36,9,0,0,0,0,103,0
ORH,0,0,39,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,88,0,0,0,9,3,0,0,0,0,0,0,1,0,0,0,0,8,0
ORP,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
PCH,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,0
PHI,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
PPH,0,0,7,0,13,0,2,0,0,0,1,0,0,0,0,0,0,208,38,0,0,0,0,0,1,0,0,11,3,0,1,1,896,59,0,0,1,60,0,171,50,0,0,0,0,76,1
PTR,0,0,38,0,6,0,3,0,0,0,0,0,0,1,0,0,0,103,28,0,0,0,0,0,12,0,0,4,5,1,1,2,248,77,0,0,0,13,2,24,4,0,0,0,0,61,1
PVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,10,1
SAI,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,15,4,0,3,0,0,0,1,0,0,0,0,0,13,0
SIN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,7,38,0,0,0,0,1,0
SNE,0,0,15,0,168,0,3,0,1,0,2,0,0,0,0,0,0,291,12,0,1,0,0,0,0,4,1,16,5,0,2,0,113,8,0,0,6,239,0,167,107,0,1,0,0,577,3
SOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16,0,0,0,2,0,0,37,0
SPH,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,58,3,0,0,0,0,0,0,0,0,13,0,0,0,0,185,2,0,0,0,38,0,530,159,0,0,0,0,30,0
SPL,0,0,0,0,2,1,0,0,0,0,17,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,7,13,0,143,450,0,0,0,0,3,0
TRE,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TRN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,0,0,12,0
TRU,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,8,1,0,0,0,0,11,0
TTH,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0
VRC,0,0,4,0,221,0,3,0,0,0,0,0,0,2,0,0,0,248,29,0,0,0,0,0,0,0,3,18,1,0,0,1,178,15,0,0,0,132,0,42,8,0,0,0,0,10320,2
VRG,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,6,1,0,0,0,27,1,0,0,0,4,0,12,2,0,0,0,0,38,51
