feature,importance
NDMI__2024-06-25,0.006393951080861989
NDVI__std,0.006038058278078309
NDMI__std,0.005968564050165744
EVI__2024-04-11,0.005558987823953422
EVI__median,0.0054510730979676625
NDMI__2024-07-02,0.005438694728167465
NDMI__2024-06-05,0.005420236062290027
NDVI__amp,0.005416821655562153
NDMI__2024-06-12,0.005306664981832952
EVI__2024-08-09,0.005249618041916868
NDMI__amp,0.005229198595249397
EVI__2024-08-04,0.005131558484909105
EVI__2024-08-19,0.005100839464562174
EVI__2024-07-17,0.005091246541700215
EVI__2024-07-20,0.005069554409434837
EVI__2024-01-27,0.004914998562952263
EVI__2024-07-25,0.004872354716441237
NDMI__2024-07-05,0.004822992483987591
EVI__2024-05-11,0.004816945322753185
NDWI__std,0.0047854332879402285
EVI__2024-06-05,0.0047620961113635325
NDWI__2024-06-05,0.0047521058994340415
EVI__2024-08-01,0.0047341291178328495
EVI__2024-04-01,0.004677819171257559
NDWI__auc,0.00465558632063009
NDMI__2024-05-31,0.004589752946304042
NDVI__2024-06-05,0.004553424364808479
EVI__auc,0.00454959317588956
EVI__2024-06-12,0.004546514233091335
NDMI__2024-05-16,0.004538360840194802
NDWI__2024-05-11,0.004537654810067493
NDWI__median,0.004534507081431645
NDMI__max,0.00451773413231508
NDVI__auc,0.0044987840091224715
NDVI__2024-05-11,0.004493762187986178
EVI__2024-07-10,0.004491138047528603
EVI__2024-04-21,0.00448998798293085
NDWI__amp,0.004484575576086641
NDMI__2024-04-21,0.004446650159435276
NDWI__2024-04-11,0.004402573630906809
EVI__2024-05-08,0.004387100924999945
NDMI__min,0.004381763013857717
EVI__2024-03-22,0.004363566483040534
EVI__2024-06-25,0.004341756173303706
NDMI__2024-08-09,0.004334390601695391
NDMI__2024-04-11,0.004312952151237444
NDVI__2024-05-31,0.004284138159101019
NDMI__2024-07-10,0.004255199597564214
EVI__2024-04-16,0.00418244419485354
NDWI__2024-08-19,0.004176037097370096
NDVI__2024-04-11,0.004163881656897511
NDMI__2024-05-26,0.004159856352963611
NDWI__2024-03-22,0.004158701267550258
NDVI__2024-05-16,0.004151556929154844
NDMI__2024-05-08,0.004121403327030943
NDWI__2024-05-16,0.004117443367179972
NDVI__median,0.00411723994364669
EVI__2024-01-25,0.004113677979301691
NDMI__2024-05-23,0.004095325484578736
NDMI__2024-08-19,0.004092406960157336
NDMI__2024-07-20,0.0040856772163844575
EVI__2024-08-26,0.004080108891416615
NDMI__2024-08-04,0.004062703039698273
NDVI__2024-08-19,0.004056368189773572
NDVI__2024-03-22,0.003987606558857146
NDMI__2024-05-11,0.003974024741609415
NDMI__2024-07-17,0.003968336673120355
EVI__2024-03-17,0.003966711220144517
NDWI__2024-05-23,0.003963044226903066
EVI__2024-07-05,0.0039594516547567776
NDWI__2024-06-25,0.0039474008604724175
NDVI__2024-05-23,0.003945999311300786
EVI__2024-05-03,0.003941324237183567
EVI__2024-01-12,0.003932550348088987
NDMI__2024-10-08,0.00392825861665182
NDMI__2024-05-03,0.003923580813982256
NDMI__mean,0.003915755583953321
NDWI__2024-06-12,0.003910436330218405
NDWI__2024-03-17,0.003903464514495699
NDMI__2024-08-01,0.003890526345324293
NDMI__2024-01-12,0.0038827344129477525
EVI__min,0.003877350763973607
NDMI__2024-08-29,0.0038640579368868274
NDWI__mean,0.003859590948879195
EVI__amp,0.0038496180376417066
NDMI__median,0.003838287341478795
NDMI__2024-07-25,0.0038306158653529775
NDWI__2024-04-01,0.0038294471559060673
NDMI__2024-08-26,0.003811401975239766
NDVI__2024-03-17,0.003789588737984825
NDVI__2024-06-12,0.0037802616941521403
NDVI__2024-08-09,0.0037774710992244
EVI__max,0.0037771398374008914
NDMI__2024-04-16,0.003777001330001307
NDVI__2024-08-26,0.0037740881475710544
NDWI__2024-04-21,0.0037650918885505764
EVI__2024-07-02,0.0037630901417926035
NDMI__2024-04-01,0.0037582910959222636
NDVI__max,0.0037516119993245547
EVI__2024-01-04,0.003738015997348681
NDMI__auc,0.003736023679153655
EVI__2024-03-15,0.003735268792936331
NDWI__2024-01-27,0.0037298261408815455
EVI__2024-01-09,0.0037294455373059836
NDMI__2024-02-11,0.00372317969454637
NDVI__2024-04-21,0.0037150523898317293
NDMI__2024-02-18,0.00371018899151194
EVI__2024-03-27,0.0037053657636450708
EVI__2024-01-24,0.003703426694532274
NDMI__2024-01-25,0.003691531100999581
EVI__2024-05-16,0.00368997522059786
NDWI__2024-07-02,0.0036885591895252584
NDVI__2024-05-08,0.0036865688951524416
NDVI__min,0.0036715800854629083
NDWI__2024-03-27,0.003670473289804656
NDMI__2024-02-04,0.003667072259615806
NDVI__2024-01-27,0.0036602445718850224
NDMI__2024-11-02,0.0036373535325440617
EVI__2024-12-27,0.003636461928420626
EVI__2024-05-31,0.003635624021860202
NDWI__2024-08-26,0.0036238384507788733
NDMI__2024-01-27,0.003622742790927912
